URL,Sentence,Rough Translation,Item,Item translation,Notes,Verb (JPN),Verb (Eng),Handle By,Comments,Parse
http://recipe.rakuten.co.jp/recipe/1910002582/,チンゲン菜を洗って、縦半分に、切る。,Wash the bok choy and cut it in half vertically.,"包丁, ナイフ",Knife,Knife not mentioned (verb there though),切る,To cut,Verb to Utensil,,"切る:包丁,ナイフ"
http://recipe.rakuten.co.jp/recipe/1910002582/,茹で上げて、水気を切る,Boil the bok choy and get rid of the excess water,,,"The verb here is literally ""to cut,"" but what they mean is to get rid of the excess moisture... this is a fixed phrase",水気を切る (but the verb itself is 切る）,To get rid of excess moisture,Unknown,Check how this is segmented,水気を切る
http://recipe.rakuten.co.jp/recipe/1270004134/,"かぶの皮を剥き、3～4mm厚さのいちょう切りか半月切りにする。
葉っぱは3cm程度の長さに刻む。",Peel the turnip and cut it into quarter or half-moons. Cut the leaves into about 3 cm pieces,"包丁, ナイフ",Knife,Knife/cutting board not mentioned (verb there though).,切り-->切る；刻む,To cut; to cut,Verb to Utensil,,"切る:包丁,ナイフ/刻む:包丁"
http://recipe.rakuten.co.jp/recipe/1210001589/,たまねぎをみじん切りにして、炒める。,Mince the onion and saute it.,包丁、ナイフ、フライパン,"Knife, frypan",Frypan not mentioned (verb there though).,切り-->切る;炒める,To cut; to saute,Verb to Utensil,2 verbs here. split up for parsing,"切る:包丁,ナイフ/炒める:フライパン"
http://recipe.rakuten.co.jp/recipe/1890008249/,玉ねぎ、キャベツ、にんじんをみじん切りにし、塩をふる。,"Mince the onion, cabbage, and carrot; sprinkle salt on it.",包丁、ナイフ、ボール,"Knife, bowl","Not only is knife not mentioned, but bowl is even more indirectly implied (there isn't even a verb for it).",みじん切りにし-->みじん切りにする；ふる,To mince; to sprinkle,Unknown,problem: みじんきりにし is noun,切る:包丁
http://recipe.rakuten.co.jp/recipe/1570002502/,しらたきは熱湯でさっとゆでてアクをぬき,Quickly blanch the shiratake to get rid of the scum,鍋,Pot,Pot not mentioned,ゆでて-->ゆでる,To boil,Verb to Utensil,,ゆでる:鍋
http://recipe.rakuten.co.jp/recipe/1890007735/,キャベツの水分を切ったりしなくて大丈夫です。,It's okay to not get rid of the excess moisture from the cabbage.,,,"The verb here is literally ""to cut,"" but what they mean is to get rid of the excess moisture... this is a fixed phrase, but note that the phrase here is ""水分を切る"" rather than ""水気を切る"" as in line 3",水分を切ったりしなくて-->水分を切ったりする-->水分を切る,To get rid of excess moisture,Unknown,Same as above,水分を切る
http://recipe.rakuten.co.jp/recipe/1750000199/,フライパンに油をひき、お肉を両面焼く。,Add oil to a frypan and sear both sides of the meat.,トング,Tongs,You could link to the tongs that aren't mentioned but implied to be necessary in this step.,焼く,To sear,Verb to Utensil,,焼く:トング
http://recipe.rakuten.co.jp/recipe/1210005490/,ひっくり返し、表同様焼きます。,Flip over (the fish) and saute the same amount.,フライ返し,Spatula,Implied but not mentioned. Also arguably you could use another utensil??,ひっくり返し-->ひっくり返す；焼きます-->焼く,To flip over; to sear,Verb to Utensil,what's the verb? clean up for parsing,ひっくり返す:フライ返し/焼く:フライパン
http://recipe.rakuten.co.jp/recipe/1840000551/,成形したパイに卵液を塗り、２００度のオーブンで１５～２０分くらい焼いたら,"Brush egg onto the shaped pies, and when you put them in a 200 degree oven for 15-20 minutes...",ペストリーブラシ、料理用のはけ,Pastry brush,Brush not mentioned but implied with verb (塗る),塗り-->塗る,To brush,Verb to Utensil,,"塗る:ペストリーブラシ,料理用のはけ"
