English utensil term,Japanese word from Recipes,Item name on Ichiba,Hiragana,Katakana,Kanji,Other spellings,Notes,Average Costs
Bowl,ボール,ボール,,,,ボウル,How do we distinguish between a bowl for eating and a mixing bowl?,
Food Processor,フードプロセッサー,フードプロセッサー,,,,,,
Frying pan,フライパン,フライパン,,,,,There may be other terms/more specific terms out there.,
Kitchen shears　（Scissors),ハサミ,キッチンはさみ,はさみ,ハサミ,鋏,ばさみ、キッチンばさみ、キッチンバサミ、キッチン鋏、料理バサミ,,
Poultry shears,家禽ばさみ ,キッチンはさみ,,,,,,
(General term for) knife,包丁,包丁,,,,ナイフ,"But do we want to specify types of knives? This might be too complex, as it implies that we need to be able to have our extension understand when to use what knife so it could suggest the right kind..",
Petty knife/paring knife,ペティーナイフ,ペティーナイフ,,,,,,
All-purpose knife; santoku knife,三徳,三徳包丁,,,,さんとく包丁,,
Rubber Spatula,ゴムベラ,ゴムベラ,,,,,,
Serving dish,器,器,うつわ,ウツワ,,,,
Donburi bowl,丼,丼ぶり,どんぶり,,,丼ぶり,,
Mixing Bowl,ミキシングボウル,ミキシングボウル,,,,,,
Small bowl,小鉢,小鉢,,,,,,
Medium bowl,中鉢,中鉢,,,,,,
Big bowl,大鉢,大鉢,,,,,,
Dishes for Japanese food,和食器,和食器,,,,,,
Dish for boiled food...,煮物鉢,煮物鉢,,,,にもの鉢,,
Serving plate,取り皿,取り皿,,,,とり皿,,
Pot,鍋,鍋,,ナベ,,,Same note as knives,
Saucepan,ソースパン,ソースパン,,,,,,
Thermometer,温度計,温度計,,,,,,
Cake Pan,スポンジケーキ型,スポンジケーキ型,,,,,This seems to be a specific kind of cake pan?,
Mold (not just for cake),型,型,,,,,This can also mean mold,
Apple corer,リンゴの芯抜き器 ,リンゴの芯抜き器,,,,,,
Apple cutter,アップルカッター ,アップルカッター,,,,,,
Fruits cutter,フルーツカッター,フルーツカッター,,,,,,
Baster,ベイスター ,ベイスター ,,,,,,
Biscuit cutter,ビスケットカッター ,ビスケットカッター ,,,,,,
Biscuit press,ビスケットプレス ,ビスケットプレス ,,,,,,
Blow torch,ブロートーチ ,ブロートーチ ,,,,,,
Boil over preventer,ポットウォッチャー,ポットウォッチャー,,,,,,
Bottle opener,栓抜き ,栓抜き,,,,せん抜き,"ボトルオープナー is also a term, but 栓抜き is more common",
Bread knife,パン切りナイフ ,パン切りナイフ ,,,,,,
Butter curler,バターカーラー ,バターカーラー ,,,,,,
Cake server,ケーキサーバー ,ケーキサーバー,,,,,These seem to be separate terms on Ichiba,
Pie server,パイサーバー,パイサーバー,,,,,,
Cheese knife,チーズナイフ ,チーズナイフ ,,,,,,
Cheesecloth,チーズクロス ,チーズクロス,,,,,This yielded almost no results on Ichiba and an alternative word I found is not used in the kitchen,
Chef's knife,シェフナイフ ,シェフナイフ ,,,,,,
（Cherry） pitter,種取り器 ,種取り器,,,,,The general term yields more results; specific yields none,
Cleaver,牛刀,牛刀包丁,,,,,,
Bamboo strainer,ざる,ざる,,ザル,,,"For noodles, vegetables, etc (Japanese food)",
Colander,ステンレスざる,ステンレスざる,,ステンレスザル,,ストレーナー,For pasta and stuff (non-Japanese food),
Corkscrew,コルク抜き,コルク抜き,,コルクヌキ,,,"コルク抜きis more common than コルクスクリュー, so I replaced it.",
Crab scissors ,カニバサミ,カニバサミ,,,蟹鋏,カニチョキ、かに鋏、カニハサミ,,
Crab fork,カニフォーク,カニフォーク,,,,,,
Cutting board,まな板 ,まな板,,,俎板,,まな板 is most common,
Dough scraper,生地スクレーパー ,生地スクレーパー ,,キジスクレーパー,,,General term スクレーパー yields more results,
Egg piercer,卵の穴あけ器,卵の穴あけ器,,,,エッグピアサー,More common than エッグピアサー,
Egg poacher,エッグポーチャー,エッグポーチャー,,,,,,
Egg separator,エッグセパレーター,エッグセパレーター,,,,,,
Egg slicer,エッグスライサー ,エッグスライサー ,,,,,,
Egg timer,エッグタイマー ,エッグタイマー ,,,,,,
Fish grill,魚焼き器,魚焼き器,,,,,,
Fillet knife,フィレナイフ ,フィレナイフ ,,,,,,
Fish scaler,うろこ引き,うろこ引き,,,,鱗引き,うろこ引き　seems to be more common,
Flour sifter,小麦粉ふるい ,粉ふるい,こむぎふるい,,,,,
Funnel,ファンネル ,ファンネル,,,,,,
Garlic press,ガーリックプレス ,ガーリックプレス,,,,にんにく絞り,,
Grater,おろし金 ,おろし金,,,,,,
Grater,すりおろし器,すりおろし器,,,擂りおろし器,,,
Grating bowl,すり鉢,すり鉢,すりばち,スリバチ,,スリ鉢,,
Herb chopper,ハーブチョッパー ,ハーブチョッパー ,,,,,,
Ladle,お玉　,お玉・おたま,おたま,オタマ,お玉　,,Both hiragana and kanji are common,
Lemon juicer/squeezer,絞り機,絞り器、レモンスクイーザー,,,,しぼり器、搾り機、レモン搾り、レモン絞り,,
