English utensil term,Japanese word from Recipes,Item name on Ichiba,Hiragana,Katakana,Kanji,Other spellings,Notes,Average Costs
Bowl,ボール,ボール,ぼーる,ボール,ボール,,How do we distinguish between a bowl for eating and a mixing bowl?,
Food Processor,フードプロセッサー,フードプロセッサー,ふーどぷろせっさー,フードプロセッサー,フードプロセッサー,,,
Frying pan,フライパン,フライパン　（？）,ふらいぱん,フライパン,フライパン,,There may be other terms/more specific terms out there.,
Kitchen shears　（Scissors),ハサミ,キッチン用品・食器・調理器具 > 「ハサミ」,はさみ,ハサミ,鋏,ばさみ、キッチンばさみ or キッチンバサミ,,
(General term for) knife,,包丁,,,,ナイフ,"But do we want to specify types of knives? This might be too complex, as it implies that we need to be able to have our extension understand when to use what knife so it could suggest the right kind..",
Petty knife/paring knife,,ペティーナイフ,,,,,,
All-purpose knife; santoku knife,,三徳包丁,,,,,,
Rubber Spatula,ゴムベラ,ゴムベラ,,,,,,
(General term for) bowl,ボウル,ボウル,ぼうる,ボウル,,ボール,,
Serving dish,器,器,うつわ,ウツワ,器,,,
Donburi bowl,丼,丼,どんぶり,ドンブリ,丼,,,
Mixing Bowl,ミキシングボウル,ミキシングボウル,みきしんぐぼうる,ミキシングボール,ミキシングボール,,,
Small bowl,小鉢,,こはち,コハチ,小鉢,,,
Medium bowl,中鉢,,ちゅうはち,チュウハチ,中鉢,,,
Big bowl,大鉢,,おおはち,オオハチ,大鉢,,,
Dishes for Japanese food,和食器,和食器,わしょくき,ワショクキ,和食器,,,
Dish for boiled food...,煮物鉢,煮物鉢,にものはち,ニモノハチ,煮物鉢,,,
Serving plate,取り皿,取り皿,とりざら,トリザラ,取り皿,,,
Pot,鍋,鍋,なべ,ナベ,鍋,,Same note as knives,
Saucepan,ソースパン,ソースパン,そーすぱん,ソースパン,,,,
Thermometer,（Number)度,温度計,おんどけい,ｵﾝﾄﾞｹｲ,温度計,,,
Cake Pan,スポンジケーキ型,スポンジケーキ型,,,,,This seems to be a specific kind of cake pan?,
Mold (not just for cake),型,型,,,,,This can also mean mold,
Apple corer,リンゴの芯抜き器 ,,,,,,,
Apple cutter,アップルカッター ,,,,,,,
Baster,ベイスター ,,,,,,,
Biscuit cutter,ビスケットカッター ,,,,,,,
Biscuit press,ビスケットプレス ,,,,,,,
Blow torch,ブロートーチ ,,,,,,,
Boil over preventer,,,,,,,,
Bottle opener,栓抜き ,栓抜き,せんぬき,センヌキ,栓抜き,,"ボトルオープナー is also a term, but 栓抜き is more common",
Bread knife,パン切りナイフ ,パン切りナイフ ,ぱんきりないふ,パンキリナイフ,パン切りナイフ,,,
Browning tray,ブラウニングトレイ ,,,,,,"I'm not even sure what this is, so I am leaving this out",
Butter curler,バターカーラー ,バターカーラー ,ばたかーらー,バターカーラー ,,,,
Cake and pie server,ケーキやパイサーバー ,ケーキサーバー、パイサーバー,けーきさーばー、ぱいさーばー,ケーキサーバー、パイサーバー,,,These seem to be separate terms on Ichiba,
Cheese knife,チーズナイフ ,チーズナイフ ,ちーずないふ,チーズナイフ ,,,,
Cheesecloth,チーズクロス ,,,,,,This yielded almost no results on Ichiba and an alternative word I found is not used in the kitchen,
Chef's knife,シェフナイフ ,シェフナイフ ,しぇふないふ,シェフナイフ ,,,,
（Cherry） pitter,種取り器 ,種取り器,たねとりき,タネトリキ,種取り器,,The general term yields more results; specific yields none,
Cleaver,牛刀包丁,牛刀包丁,ぎゅうとうほうちょう,ギュウトウホウチョウ,牛刀包丁,,,
Bamboo strainer,ざる,ざる,ざる,ザル,,,"For noodles, vegetables, etc (Japanese food)",
Colander,ざる,ステンレスざる,すてんれすざる,ステンレスザル,,ストレーナー,For pasta and stuff (non-Japanese food),
Corkscrew,コルク抜き,コルク抜き,こるくぬき,コルクヌキ,コルク抜き,,"コルク抜きis more common than コルクスクリュー, so I replaced it.",
Crab cracker,カニクラッカー ,,,,,,Could not find Japanese term,
Cutting board,まな板 ,まな板,まないた,マナイタ,俎板,,まな板 is most common,
Dough scraper,生地スクレーパー ,生地スクレーパー ,きじすくれーぱー,キジスクレーパー,生地スクレーパー,,General term スクレーパー yields more results,
Egg piercer,卵の穴あけ器,卵の穴あけ器,たまごのあなあけき,タマゴノアナアケキ,卵の穴あけ器,,More common than エッグピアサー,
Egg poacher,エッグポーチャー,エッグポーチャー,えっぐぽーちゃー,エッグポーチャー,,,,
